date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:07:38	811657/811657	---M--	200	added ('OK')	application/pdf	etag:%2281f5203784cf84b4f211540fe92cda5d%22	https://mangopi.org/_media/mq-quad-sch-v1p2.pdf	mangopi.org/_media/mq-quad-sch-v1p2.pdf_;	(from https://mangopi.org/mangopi_mqquad)
11:07:38	12593/12593	---M--	200	added ('OK')	application/octet-stream-unknown	etag:%2281f5203784cf84b4f211540fe92cda5d%22	https://mangopi.org/_media/mq-quad-v12-bom-output.xlsx	mangopi.org/_media/mq-quad-v12-bom-output.xlsx_;	(from https://mangopi.org/mangopi_mqquad)
11:07:41	3590956/3590956	---M--	200	added ('OK')	application/pdf	etag:%2236f81e2a63ed256f994a6560301c7629%22	https://mangopi.org/_media/h616_datasheet_v1.0.pdf	mangopi.org/_media/h616_datasheet_v1.0.pdf_;	(from https://mangopi.org/mangopi_mqquad)
11:07:43	1045546/1045546	---M--	200	added ('OK')	application/pdf	etag:%2281f5203784cf84b4f211540fe92cda5d%22	https://mangopi.org/_media/rtl8723ds-cg_datasheet_0.92_20170804.pdf	mangopi.org/_media/rtl8723ds-cg_datasheet_0.92_20170804.pdf_;	(from https://mangopi.org/mangopi_mqquad)
11:07:43	11128650/11128650	---M--	200	added ('OK')	application/pdf	etag:%2236f81e2a63ed256f994a6560301c7629%22	https://mangopi.org/_media/h616_user_manual_v1.0.pdf	mangopi.org/_media/h616_user_manual_v1.0.pdf_;	(from https://mangopi.org/mangopi_mqquad)
11:07:43	1956102/1956102	---M--	200	added ('OK')	application/pdf	etag:%2281f5203784cf84b4f211540fe92cda5d%22	https://mangopi.org/_media/axp313a_datasheet_v0.1-20201105.pdf	mangopi.org/_media/axp313a_datasheet_v0.1-20201105.pdf_;	(from https://mangopi.org/mangopi_mqquad)
11:07:45	991987/991987	---M--	200	added ('OK')	application/pdf	etag:%2281f5203784cf84b4f211540fe92cda5d%22	https://mangopi.org/_media/tl8723dsa.pdf	mangopi.org/_media/tl8723dsa.pdf_;	(from https://mangopi.org/mangopi_mqquad)
11:07:48	1912847/1912847	---M--	200	added ('OK')	application/pdf	etag:%2236f81e2a63ed256f994a6560301c7629%22	https://mangopi.org/_media/fn-link_fg6223asrd_datasheet_v2.1_20210728.pdf	mangopi.org/_media/fn-link_fg6223asrd_datasheet_v2.1_20210728.pdf_;	(from https://mangopi.org/mangopi_mqquad)
11:07:58	10584713/10584713	---M--	200	added ('OK')	application/zip	etag:%2281f5203784cf84b4f211540fe92cda5d%22	https://mangopi.org/_media/phoenixcard4.2.8.zip	mangopi.org/_media/phoenixcard4.2.8.zip_;	(from https://mangopi.org/mangopi_mqquad)
11:07:58	27007/27007	---M--	200	added ('OK')	image/png	etag:%2281f5203784cf84b4f211540fe92cda5d%22	https://mangopi.org/_media/20220418135120.png	mangopi.org/_media/20220418135120.png_;	(from https://mangopi.org/mangopi_mqquad)
